V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	Q1	Q2	Q3	Q4	Q35	Q35_TEXT	Q5	Q5_TEXT	Q6	Q8	Q10	Q36	Q33_1	Q33_2	Q33_3	Q33_4	Q33_5	Q33_6	Q33_7	Q33_8	Q33_9	Q33_10	Q33_11	Q33_12	Q33_13	Q33_14	Q33_15	Q33_16	Q33_17	Q33_18	Q33_19	Q33_20	Q33_21	Q33_22	Q33_23	Q33_24	Q33_25	Q33_26	Q33_27	Q33_28	Q33_29	Q33_30	Q37	Q38	Q39	LocationLatitude	LocationLongitude	LocationAccuracy
ResponseID	ResponseSet	Name	ExternalDataReference	EmailAddress	IPAddress	Status	StartDate	EndDate	Finished	The purpose of this research study is to survey librarians (in /  all types of libraries) about their self-perceptions of fear of /  negative evaluations to provide a baseline of its existence in /  our...	Please tell us your gender.	Please tell us your age.	Please tell us your ethnicity/origin.	In what type of library do you work?	In what type of library do you work?-TEXT	Your job description most closely aligns with which of the / following?	Your job description most closely aligns with which of the / following?-TEXT	Are you a supervisor?	How many years have you worked in libraries?	Which below best describes your rank/position?	How many formal evaluations do you receive a year?	"For the following statements, please answer each in terms of / whether it is true or false for you.-I rarely worry about seeming foolish to others."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I worry about what people will think of me even when I know it doesn't make any difference."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I become tense and jittery if I know someone is sizing me up."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I am unconcerned even if I know people are forming an unfavorable impression of me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I feel very upset when I commit some social error."	"For the following statements, please answer each in terms of / whether it is true or false for you.-The opinions that important people have of me cause me little concern."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I am often afraid that I may look ridiculous or make a fool of myself."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I react very little when other people disapprove of me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I am frequently afraid of other people noticing my shortcomings."	"For the following statements, please answer each in terms of / whether it is true or false for you.-The disapproval of others would have little effect on me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-If someone is evaluating me I tend to expect the worst."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I rarely worry about what kind of impression I am making on someone."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I am afraid that others will not approve of me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I am afraid that people will find fault with me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-Other people's opinions of me do not bother me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I am not necessarily upset if I do not please someone."	"For the following statements, please answer each in terms of / whether it is true or false for you.-When I am talking to someone, I worry about what they may be thinking about me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I feel that you can't help making social errors sometimes, so why worry about it."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I am usually worried about what kind of impression I make."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I worry a lot about what my superiors think of me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-If I know someone is judging me, it has little effect on me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I worry that others will think I am not worthwhile."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I worry very little about what others may think of me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-Sometimes I think I am too concerned with what other people think of me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I often worry that I will say or do the wrong things."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I am often indifferent to the opinions others have of me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I am usually confident that others will have a favorable impression of me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I often worry that people who are important to me won't think very much of me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I brood about the opinions my friends have about me."	"For the following statements, please answer each in terms of / whether it is true or false for you.-I become tense and jittery if I know I am being judged by my superiors."	"Do you feel that being afraid of negative evaluations has /  affected your career?  If so, how?"	What recommendations do you have for improving workplaces that have / librarians with fear of negative evaluations?	Do you have any advice for others in overcoming the fear of / negative evaluation?	LocationLatitude	LocationLongitude	LocationAccuracy
R_3HGGmlattN3J3Mx	Default Response Set	Anonymous			71.211.6.110	0	4/23/2014 9:39	4/23/2014 9:46	1	1	1	3	1	2		3		2	2	8	2	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	2	1	2	2	2	2	1	2	2	2	1	2	2	2	no			38.83389282	-104.8214035	-1
R_ctJ28jn3MLhRdFb	Default Response Set	Anonymous			198.105.46.100	0	4/23/2014 9:44	4/23/2014 9:49	1	1	1	4	1	2		3		2	1	8	2	1	1	2	2	2	2	2	2	2	2	2	2	1	2	2	2	1	1	2	2	2	2	2	1	2	2	1	2	2	2	I don't feel that way.	A good supervisor will be able to deliver negative news in a fair way. I the problem is not negative evaluations so much as unfair ones.	"Life's too short? Listen to the evaluation and decide if it's correct. If it is, work to fix it. If not, consider looking for another job, as you may have a supervisor who doesn't communicate clear expectations."	41.14680481	-73.83180237	-1
R_bdfly6AtyFmDDmZ	Default Response Set	Anonymous			150.182.212.3	0	4/23/2014 9:45	4/23/2014 9:50	1	1	1	3	1	2		3		1	6	5	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	2	2	2	1	2	2	1	2	2	2	"No, I got over that many years ago. I think early on in my career I was very afraid of making any mistake no matter how small but now I know we all make mistakes and I forgive myself just as I forgive my colleagues. "	"Supervisors need to be professional and evaluate fairly and not play games or be petty themselves. I have a great boss but I hear of a lot of librarians elsewhere who are supervised by narrow, insecure, political manipulators. "	"Learn from your mistakes, learn to be humble, admit you did something wrong and roll with the occasional mishap. "	35.04559326	-85.30970001	-1
R_cP8YREQduMD22fH	Default Response Set	Anonymous			128.148.231.12	0	4/23/2014 9:45	4/23/2014 9:50	1	1	1	3	1	2		1		1	4	8	2	1	2	2	1	2	1	2	1	2	1	2	2	2	1	1	1	2	1	2	2	1	1	1	2	2	1	1	2	2	2	No	Learn unique/valuable skills that have value and can offset any lack of social skills and improve your self perception of your value		41.82670593	-71.39769745	-1
R_0UIfCUGnT2kzlQx	Default Response Set	Anonymous			199.80.74.70	0	4/23/2014 9:43	4/23/2014 9:50	1	1	1	4	1	1		1		2	5	8	2	1	2	2	1	1	2	2	1	2	2	1	1	2	2	1	1	2	1	2	1	2	1	2	2	2	1	1	2	2	2	No raise	"Give merit pay, but also small cost of living increases frequently"	Go into a profession that pays more.	29.98379517	-90.16829681	-1
R_5ABg9V90WhADK4t	Default Response Set	Anonymous			128.227.108.190	0	4/23/2014 9:45	4/23/2014 9:52	1	1	1	3	1	2		3		2	4	8	2	1	2	2	1	2	2	2	1	2	1	2	2	2	2	1	1	2	1	1	1	1	2	1	2	2	1	1	2	2	1	"Me personally, no. But, negative evaluations have dire consequences for librarians on the tenure track. "	"DOCUMENT EVERYTHING! If you disagree with or believe that your evaluations do not accurately represent your work, write a rebuttal and document the work that you did. "	"DOCUMENT EVERYTHING. Also, keep in communication with the person writing the evaluation. Let them know what you are doing and if you get a nice thank you, pass it along. "	29.65159607	-82.32479858	-1
R_0ddY0ThU0OCy0lf	Default Response Set	Anonymous			209.60.145.1	0	4/23/2014 9:43	4/23/2014 9:52	1	1	2	1	1	1		1		2	1	8	2	1	2	2	2	2	2	2	1	2	2	2	2	1	1	2	1	2	1	1	1	1	2	2	1	2	2	1	2	2	2	"So far in my career, I have never received negative evaluations (thank goodness!)"	"What brought on this fear? We have employees in my current organization who constantly seem to fear that they'll get fired, but as far as I can tell, these fears are unfounded. I think as we progress into the 21st century, it's becoming more acceptable, or even encouraged/expected, for employees to ""think outside the box"" and try new things...without fear of reprimand or punishment. "	"Have confidence that you are doing your best everyday and have the best intentions for the library/patron-base at heart. It has been my experience that my supervisors are not ""out to get me"" and that if I try my best, and ask questions when I don't know something, and tell people, ""I don't know."" instead of making up answers, that we get along just fine and build a community of trust. With trust comes no fear!!"	40.52859497	-86.16750336	-1
R_9pkbwSvhFik9X3n	Default Response Set	Anonymous			150.209.85.201	0	4/23/2014 9:46	4/23/2014 9:52	1	1	2	4	1	2		4		1	7	4	2	1	2	2	2	1	2	2	1	2	2	1	2	2	2	1	2	2	2	2	1	2	2	1	2	2	2	1	2	2	1	Mismanagement by superiors is a constant danger since their uninformed confusion can control my career.	It's all about competent managers up and down the hierarchy	Persevere in doing the highest quality work--in the end that's what will be your legacy	43.03610229	-75.38169861	-1
R_5ARhiTwa5vvbvbn	Default Response Set	Anonymous			158.111.236.175	0	4/23/2014 9:45	4/23/2014 9:54	1	1	2	2	1	6	Government	1		2	1	8	2	1	2	1	2	1	1	1	2	2	2	1	2	1	1	2	1	2	2	2	1	2	1	2	1	1	1	1	2	2	1	"I feel like I am always beginning my career. There are reasons for this, but I definitely like to do my job and make sure my supervisors know I am doing my job wekll, quickly, efficiently etc. this drives me to work hard. "	"There is something quite odd about the notion that evaluations must always be ""private"" because this cna often lead to situations where the librarian (I have been here myself) does not get the value of collaborative crowdsourced feedback because evaluations are locked away in ""private"" between the librarian and management. But a crowdsourced evaulation model brings things to the open to many ideas done with an atttitude of constructive criticism can be taken as a matter of course instead of worrying that ""I am the only one with some problem or another."" "	"For me, I recommend talking to your colleagues openly asking for feedback about your performance, projects, etc. "	38.9907074	-77.02610016	-1
R_bQRJsq3KCmfaXEV	Default Response Set	Anonymous			168.7.212.30	0	4/23/2014 9:50	4/23/2014 9:54	1	1	2	3	1	2		1		1	5	4	2	1	2	2	2	1	2	2	2	1	2	1	2	2	1	2	1	2	2	1	2	2	1	2	2	2	2	1	2	2	2	No			29.71760559	-95.41880035	-1
R_a4QLGGN6d0gbxs1	Default Response Set	Anonymous			63.224.21.240	0	4/23/2014 9:46	4/23/2014 9:54	1	1	1	2	1	1		3		2	2	8	2	1	1	1	1	1	2	1	2	1	2	1	2	1	1	2	2	1	2	1	1	2	1	2	1	1	2	2	1	1	1	"Yes, I worry way too much about how i come across to others and I look too self-absorbed instead of  being in the moment and enjoying my work.  "	Make sure to balance negative feedback with positive feedback.  Let us know how we are appreciated and useful.		45.26730347	-93.01959991	-1
R_eLlV0JSCoVdOu6F	Default Response Set	Anonymous			131.95.218.142	0	4/23/2014 9:44	4/23/2014 9:56	1	1	1	3	1	2		3		1	5	4	2	1	2	1	2	1	2	2	1	2	1	2	1	2	2	1	1	2	1	2	2	2	2	1	2	2	1	1	2	2	2	"No, I don't think fear of negative evaluations has affected my career. If I am confident that I am doing my best and doing the right thing, I don't really care what others think."	"Reward success, but do not punish failure. Fear produces risk avoidance and stagnation. Librarianship is constantly evolving, so the confidence to try new things is essential. Ideally, the work environment accepts that not all initiatives will be successful."	Try to focus on successes and positive feedback. Don't allow yourself to replay negative experiences over and over again in your mind.	31.17210388	-89.2947998	-1
R_3VLbIpjnMDmB7OB	Default Response Set	Anonymous			72.70.196.59	0	4/23/2014 9:50	4/23/2014 9:56	1	1	1	5	1	2		3		2	4	10	1	1	2	1	2	2	2	2	1	2	1	2	2	2	2	2	1	1	1	2	2	1	2	1	2	2	1	1	2	2	2	No	"Focus on goals and whether or not progress is being made towards them. Emphasize the value of constructive criticism; do not permit destructive, personal criticism."	Same as above.	41.2808075	-75.89620209	-1
R_25bJQEmaiSe3yWp	Default Response Set	Anonymous			198.207.222.130	0	4/23/2014 9:54	4/23/2014 9:58	1	1	1	3	1	1		1		1	4	4	2	1	1	1	2	1	2	2	1	1	2	2	2	1	1	2	1	1	1	2	1	2	1	2	1	1	2	1	2	2	1	"No, it may make me work harder to avoid problems"	"Supervisors should communicate throughout the year, noticing accomplishments and positive behavior, and handling problems or other issues professionally and supportively."	"Do the best job you can do, determine if any criticism that comes up requires behavior modification, and then just work to the best of your ability and try to relax about it."	36.09710693	-95.96269989	-1
R_eLJwKSHk0LInWh7	Default Response Set	Anonymous			168.28.192.54	0	4/23/2014 9:49	4/23/2014 9:58	1	1	1	2	1	2		1		1	2	5	3	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	1	2	1	1	2	1	2	2	2	1	2	2	2	No. I generally don't operate this way.	"Managers need to be approachable, have clearly defined expectations, and communicate about problems with staff early and often. This way librarians will know where they stand and have no reason to be surprised or fearful about evaluations."	"I've never had a negative evaluation, I think largely because I've always gone above and beyond what's expected of me, and maybe equally as important is the fact that I've always had great relationships with my superiors. My superiors have generally had clear expectations."	33.94099426	-83.43409729	-1
R_dm2IUXf00dKZHOl	Default Response Set	Anonymous			136.160.248.5	0	4/23/2014 9:53	4/23/2014 9:58	1	1	1	4	1	2		3		1	7	9	2	1	2	2	2	2	1	2	1	2	1	2	1	2	2	1	1	2	1	2	2	1	2	1	2	2	1	1	2	2	2	No.	"Evaluations are a part of life.  Good supervisors communicate throughout the year, so there are no surprises when it comes to evaluations."	"This is self defeating behavior.  Work hard, do your job, ask for feedback, and relax."	39.04110718	-76.49420166	-1
R_6ln8Pl63HdCeWYR	Default Response Set	Anonymous			70.179.21.224	0	4/23/2014 9:52	4/23/2014 9:59	1	1	1	4	5	2		3		2	6	8	1	1	1	2	2	1	1	2	2	2	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	2	2	1	1	2	No fear. Reality is what is stressful.	"Do the best you can. Learn from criticism, if any. Sometimes neg evaluations aren't completely objective."		32.71530151	-117.1573029	-1
R_6WCr8mJemdyEaON	Default Response Set	Anonymous			199.120.17.41	0	4/23/2014 9:54	4/23/2014 9:59	1	1	1	5	1	2		2		1	4	1	2	1	2	1	2	2	2	2	2	2	2	1	2	2	1	2	2	2	1	2	1	2	2	2	1	2	2	1	2	2	1	"Yes, sometimes hesitant to initiate new programs"	Supervisors need to be more forthcoming and provide help for improvement	no	33.93580627	-78.91919708	-1
R_6naECWBMwGBWBut	Default Response Set	Anonymous			128.192.114.58	0	4/23/2014 9:45	4/23/2014 10:00	1	1	1	4	1	2		1		1	7	5	2	1	1	1	2	1	2	2	2	2	2	2	1	2	2	2	1	2	2	1	2	2	2	2	1	1	2	1	1	2	2	No.	"Having the opportunity to provide a self-evaluation as part - preferably the first part - of the evaluation process is useful.  It gives the librarian an opportunity to list accomplishments, professional development, and so on.  You get to see at the start of the process what you have accomplished, whether it is a statistic or adaption to changes in the workplace such as a new online system or adoption of a new code.  People should be prompted to consider seminars attended, day to day training of others, availability to aid/consult with others, and so on as valuable contributions.  They should be encouraged to list accomplishments in these areas even if they seem routine. "	"Gaining more experience through interacting with others (consulting/asking for or giving assistance), training, and just day to day work on the job does build your expertise in an area.  Be open to helping others.  Realize that everyone makes mistakes.  Don't be to down on yourself.  Give yourself credit for what you accomplish each day!  Over the years, these sorts of things have helped me build confidence.  I used to have many more work anxieties early in my career than I do now. Part of that, of course, is maturity, and part of it is simply that I am accustomed to my role and work with people who value that role."	33.9499054	-83.375	-1
R_4VhykYAjcAs8qhL	Default Response Set	Anonymous			63.88.70.246	0	4/23/2014 9:59	4/23/2014 10:02	1	1	1	1	1	1		3		2	1	8	2	1	1	1	2	1	2	2	2	2	2	2	2	1	1	2	1	1	2	1	1	2	2	1	1	1	2	1	2	2	2				37.55380249	-77.46029663	-1
R_6hCAuk0sK5WbUtD	Default Response Set	Anonymous			168.18.161.236	0	4/23/2014 9:49	4/23/2014 10:03	1	1	1	4	1	2		3		2	6	8	3	1	2	2	2	2	1	2	2	2	2	1	1	2	2	1	1	2	1	2	2	1	2	1	2	2	1	1	2	2	1	"When your colleagues criticize you on nick picky little things, yes my career is affected. My career is also affected when during the peer reviews process you are praised by one person for a trait, and yjrn you get negative comments from another person for the same trati."	"Everyone should go through training on what to include and what not to include during an evaualtion. If somone is going to make negative comments, there should be a procedure set in place, so the evaluation is not the first time the person being reviewed hears about the negative comment. Procedures should be in place for peer reviews as you may be doing a great job, but one of the reviewers would do something differently than you."	"Make sure there are procedures in place, so if you are doing something wrong you find out about it before the evualtion."	30.84849548	-83.28780365	-1
R_6yycG6NqfjYjwK9	Default Response Set	Anonymous			130.184.236.148	0	4/23/2014 9:50	4/23/2014 10:05	1	1	2	2	1	2		1		1	1	11	2	1	1	1	2	1	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	2	2	2	1	2	2	1	2	2	1	No			35.95429993	-93.97949982	-1
R_4Z16geuJ58YocGp	Default Response Set	Anonymous			216.54.92.23	0	4/23/2014 10:00	4/23/2014 10:06	1	1	1	5	1	2		1		1	7	8	2	1	2	1	2	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	No	Provide positive feedback as often as possible.  Provide an unthreatening environment as much as possible.	"Always do your best, and there will be no reason for negative evaluations."	36.79679871	-76.17669678	-1
R_bw68LELzfTufJ2Z	Default Response Set	Anonymous			75.150.214.113	0	4/23/2014 9:59	4/23/2014 10:08	1	1	1	2	1	1		3		1	3	4	2	1	2	1	2	1	1	2	1	2	2	2	1	2	2	2	2	2	1	2	2	2	2	1	2	2	2	1	2	2	1	"I always expect a great evaluation, because I work hard.  I have a moment of fear when I first get handed my evaluation, but that is it."	I would recommend having ongoing discourse with employees so that nothing that appears on the evaluation comes as a surprise.	"Find out what the evaluation procedure and rubric involves, and make sure you are working to the best of your ability.  That is all you can do!"	41.5249939	-88.08170319	-1
R_3PjPvJnNiHDHPE1	Default Response Set	Anonymous			128.173.127.50	0	4/23/2014 10:07	4/23/2014 10:10	1	1	1	2	1	2		3		2	3	8	2	1	1	1	2	1	2	1	2	1	2	1	2	1	1	2	1	1	2	1	1	2	1	2	1	1	2	2	1	2	1	"No, I think it has actually provided motivation for me to work as hard as I can and produce high quality work in order to avoid negative evaluations."	"Making evaluation criteria clear and transparent, and offering mentoring/support"	Talk with evaluators to make sure that everyone is on the same page about evaluation criteria and how to meet it	37.17909241	-80.35150146	-1
R_cT4ZJPo0gRyAerj	Default Response Set	Anonymous			107.18.42.64	0	4/23/2014 10:06	4/23/2014 10:12	1	1	1	4	6	2						5	2	1	2	1	1	1	1	2	1	1	2	1	1	2	1	1	1	2	2	2	2	2	1	1	2	1	1	2	2	2	2	no and yes.  I probably do mnnore than I need to but I don't know if that's  fear or negatrive evaulation or expecting alot of myself.	Good luck.    Usually the reason for the fear is because it's .  The entire workplace culture needs to be changed starting with the managment who are usually the ones creating that atomospehre	Leave and find a more supportative place.    	29.92340088	-95.05780029	-1
