Rank	Country	ExternalDebtUSD	PercapitaUSD	 PctGDP	Continent
1	United States	14392451000000	46577	97	N
2	United Kingdom	8981000000000	144757	398	E
3	Germany	4713000000000	57646	143	E
4	France	4698000000000	74410	188	E
5	Netherlands	2344296360000	226503	344	E
6	Japan	2246000000000	17546	51	A
7	Norway	2232000000000	113174	861	E
8	Italy	2223000000000	39234	124	E
9	Spain	2166000000000	52588	157	E
10	Ireland	2131000000000	515671	1224	E
11	Luxembourg	1892000000000	4028283	4636	E
12	Belgium	1275601020000	126188	322	E
13	Switzerland	1190000000000	182899	364	E
14	Australia	1169000000000	42057	131	A
15	Canada	1009000000000	24749	75	N
16	Sweden	853300000000	72594	241	E
17	Austria	755000000000	97411	226	E
	Hong Kong	754631000000	92725	233	A
18	Denmark	559500000000	110216	274	E
19	Greece	532900000000	49525	165	E
20	Portugal	497800000000	47632	201	E
21	Russia	480200000000	2611	21	A
22	Peoples Republic of China	406600000000	7000	7	A
23	Finland	370800000000	68180	200	E
24	Korea South	370100000000	29842	25	A
25	Brazil	310800000000	1129	14	S
26	Turkey	270700000000	3884	45	A
27	Poland	252900000000	5279	47	E
28	India	237100000000	187	18	A
29	Mexico	212500000000	1646	20	N
30	Indonesia	155900000000	651	28	A
31	Hungary	134600000000	11667	70	E
32	Argentina	128600000000	2706	35	S
33	United Arab Emirates	122700000000	26202	56	A
34	Iceland	124090000000	10670	35	E
35	Romania	108900000000	4459	59	E
36	Ukraine	97500000000	2275	90	E
37	Kazakhstan	94440000000	5987	85	A
38	Republic of China (Taiwan)	91410000000	3452	21	A
39	Israel	89680000000	11649	43	A
40	Czech Republic	86790000000	7318	39	E
42	Chile	84510000000	3586	38	S
43	Saudi Arabia	82920000000	2839	20	A
44	Thailand	82500000000	990	25	A
45	South Africa	80520000000	1497	26	F
46	Qatar	71380000000	51856	75	A
47	New Zealand	191008000000	33418	127	A
48	Malaysia	62820000000	1738	25	A
49	Philippines	61850000000	576	33	A
49	Colombia	61777400000	1052	21	S
50	Croatia	59700000000	13390	94	E
51	Slovakia	59330000000	9706	55	E
52	Pakistan	57210000000	318	31	A
53	Kuwait	56810000000	9191	29	A
54	Venezuela	55610000000	1517	13	S
55	Iraq	52580000000	1610	76	A
56	Slovenia	51570000000	27282	112	E
57	Malta	41020000000	9080	45	E
58	Sudan	37980000000	927	66	F
59	Latvia	37280000000	16811	145	E
60	Bulgaria	36150000000	6511	105	E
61	Lebanon	34450000000	5473	63	A
62	Vietnam	33450000000	355	34	A
63	Peru	33290000000	1032	24	S
64	Cyprus	32860000000	41648	129	E
65	Serbia	32310000000	4297	74	E
66	Egypt	30610000000	371	15	F
67	Lithuania	27600000000	10924	98	E
68	Belarus	24800000000	3007	57	E
69	Bangladesh	24460000000	141	25	A
70	Morocco	22690000000	633	22	F
71	Estonia	22125000000	16510	114	E
72	Singapore	21660000000	4042	11	A
73	Cuba	19750000000	1698	34	S
74	Tunisia	18760000000	1500	39	F
75	Monaco	18000000000	565043		E
76	Angola	17980000000	741	19	F
77	Sri Lanka	17970000000	961	47	A
78	Guatemala	17470000000	534	20	S
79	Ecuador	14710000000	941	23	S
80	Bahrain	14680000000	10462	54	A
81	Panama	13850000000	3475	49	S
82	Uruguay	13390000000	3770	40	S
83	Dominican Republic	13090000000	1312	25	S
84	Iran	12840000000	166	3.7	A
85	Jamaica	12660000000	4260	97	S
86	Korea North	12500000000	582		A
87	Cote dIvoire	11600000000	565	54	F
88	El Salvador	11450000000	1976	55	S
89	Nigeria	11020000000	64	6	F
90	Costa Rica	9126000000	1744	27	S
91	Oman	8829000000	2522	14	A
92	Bosnia and Herzegovina	7996000000	2102	49	E
93	Kenya	7935000000	215	24	F
94	Syria	7682000000	374	15	A
95	Tanzania	7576000000	174	32	F
96	Yemen	7147000000	264	25	A
97	Burma	7145000000	123	27	A
98	Ghana	6483000000	253	38	F
99	Libya	6378000000	1025	11	F
100	Bolivia	6130000000	523	30	S
101	Zimbabwe	5772000000	496	132	F
102	Jordan	5522000000	1121	29	A
103	Macedonia	5520000000	2648	59	E
104	Armenia	5227000000	1368	51	E
105	Mauritius	5043000000	3565	52	F
106	Congo Republic of the	5000000000	1722	155	F
107	Turkmenistan	5000000000	934	31	A
108	Mozambique	4990000000	197	42	F
109	Nepal	4500000000	161	36	A
110	Paraguay	4346000000	513	22	S
111	Cambodia	4338000000	298	38	A
112	Trinidad and Tobago	4303000000	1589	10	S
113	Congo Democratic Republic of the	4300000000	164	100	F
114	Ethiopia	4289000000	51	13	F
115	Uzbekistan	4236000000	130	11	A
116	Moldova	4146000000	1113	73	E
117	Algeria	4138000000	97	2	F
118	Nicaragua	4030000000	743	76	S
119	Senegal	3885000000	216	22	F
120	Kyrgyzstan	3738000000	653	68	A
121	Honduras	3540000000	423	23	S
122	Zambia	3495000000	277	25	F
123	Georgia	3381000000	771	31	A
124	Cameroon	3344000000	147	13	F
125	Azerbaijan	3221000000	269	6	A
126	Liberia	3200000000	930	606	F
127	Laos	3085000000	484	55	A
128	Guinea	3072000000	290	70	F
129	Somalia	3000000000	393		F
130	Madagascar	2973000000	99	24	F
131	Benin	2894000000	135	22	F
134	Uganda	2888000000	62	13	F
135	Mali	2800000000	240	84	F
136	Afghanistan	2700000000	96	23	A
137	Gabon	2374000000	2078	28	F
138	Namibia	2373000000	569	13	F
139	Botswana	2222000000	910	14	F
140	Niger	2100000000	178	79	F
141	Burkina Faso	2002000000	128	23	F
142	Tajikistan	1997000000	260	34	A
143	Mongolia	1860000000	690	44	A
144	Chad	1749000000	177	27	F
145	Sierra Leone	1610000000	311	163	F
146	Albania	1550000000	497	21	E
147	Papua New Guinea	1548000000	366	29	A
148	Seychelles	1374000000	14706	163	F
149	Malawi	1213000000	78	24	F
150	Burundi	1200000000	167	202	F
151	Central African Republic	1153000000	270	68	F
	West Bank	1300000000	552		A
152	Belize	1010000000	2982	70	S
153	Guinea-Bissau	941500000	722	203	F
154	Bhutan	836000000	1239	66	A
155	Equatorial Guinea	832000000	136	1	F
156	Guyana	804300000	1049	42	S
157	Barbados	668000000	2456	25	S
158	Montenegro	650000000	939	24	E
159	Lesotho	647000000	233	36	F
160	Maldives	589000000	1707	43	A
161	Gambia The	530000000	438	170	F
162	Suriname	504300000	1011	28	S
163	Swaziland	497000000	520	18	F
164	Haiti	494000000	48	7	S
165	Saint Vincent and the Grenadines	479000000	2084	54	S
	Aruba	478600000	4935	21	S
166	Djibouti	428000000	573	56	F
167	Antigua and Barbuda	359800000	4388	36	S
168	Grenada	347000000	3402	74	S
169	Bahamas The	342600000	1067	6	S
170	Cape Verde	325000000	722	53	F
171	Sao Tome and Principe	318000000	2193	349	F
172	Saint Kitts and Nevis	314000000	6408	79	S
173	Eritrea	311000000	87	44	F
174	Saint Lucia	257000000	1586	32	S
176	Comoros	232000000	420	115	F
177	Dominica	213000000	3000	75	S
178	Samoa	177000000	994	47	A
179	Solomon Islands	166000000	355	44	A
	Bermuda	160000000	2560		S
	Cook Islands	141000000	7756		A
180	Fiji	127000000	150	5	A
181	Marshall Islands	87000000	1377	54	A
182	Vanuatu	81200000	383	22	A
183	Tonga	80700000	791	33	A
	New Caledonia	79000000	404		A
	Cayman Islands	70000000	2078		S
	Faroe Islands	68100000	1409		E
184	Micronesia Federated States of	60800000	563		A
	Greenland	58000000	1007		E
	British Virgin Islands	36100000	1897		S
185	Nauru	33300000	2599		A
186	Kiribati	10000000	120	14	A
	Montserrat	8900000	14958		S
	Anguilla	8800000	818		S
	Wallis and Futuna	3670000	244		A
	Niue	418000	196		A
187	Brunei	0	0	0	A
188	Liechtenstein	0	0		E
	Macau	0	0	0	A
189	Palau	0	0		A
