Rank	Country	ExternalDebtUSD	Date	PercapitaUSD	 PctGDP	Continent
1	United States	1.43925E+13	30-Sep-10	46577	97	N
2	United Kingdom	8.981E+12	30-Jun-10	144757	398	E
3	Germany	4.713E+12	30-Jun-10	57646	143	E
4	France	4.698E+12	30-Jun-10	74410	188	E
5	Netherlands	2.3443E+12	3rd quarter of 2010	226503	344	E
6	Japan	2.246E+12	30-Jun-10	17546	51	A
7	Norway	2.232E+12	30-Jun-10	113174	861	E
8	Italy	2.223E+12	30 June 2010 est.	39234	124	E
9	Spain	2.166E+12	30-Jun-10	52588	157	E
10	Ireland	2.131E+12	30-Jun-10	515671	1224	E
11	Luxembourg	1.892E+12	30-Jun-10	4028283	4636	E
12	Belgium	1.2756E+12	3rd quarter of 2010	126188	322	E
13	Switzerland	1.19E+12	30-Jun-10	182899	364	E
14	Australia	1.169E+12	31 December 2010 est.	42057	131	A
15	Canada	1.009E+12	30-Jun-10	24749	75	N
16	Sweden	8.533E+11	30-Jun-10	72594	241	E
17	Austria	7.55E+11	30-Jun-10	97411	226	E
	Hong Kong	7.54631E+11	3rd quarter of 2010	92725	233	A
18	Denmark	5.595E+11	30-Jun-10	110216	274	E
19	Greece	5.329E+11	30-Jun-10	49525	165	E
20	Portugal	4.978E+11	30-Jun-10	47632	201	E
21	Russia	4.802E+11	30 November 2010 est.	2611	21	A
22	People's Republic of China	4.066E+11	31 December 2010 est.	7000	7	A
23	Finland	3.708E+11	30-Jun-10	68180	200	E
24	Korea South	3.701E+11	31 December 2010 est.	29842	25	A
25	Brazil	3.108E+11	31 December 2010 est.	1129	14	S
26	Turkey	2.707E+11	31 December 2010 est.	3884	45	A
27	Poland	2.529E+11	31 December 2010 est.	5279	47	E
28	India	2.371E+11	31 December 2010 est.	187	18	A
29	Mexico	2.125E+11	31 December 2010 est.	1646	20	N
30	Indonesia	1.559E+11	31 December 2010 est.	651	28	A
31	Hungary	1.346E+11	31-Dec-10	11667	70	E
32	Argentina	1.286E+11	31 December 2010 est.	2706	35	S
33	United Arab Emirates	1.227E+11	31 December 2010 est.	26202	56	A
34	Iceland	1.2409E+11	3rd quarter of 2010	10670	35	E
35	Romania	1.089E+11	31 December 2010 est.	4459	59	E
36	Ukraine	97500000000	31 December 2010 est.	2275	90	E
37	Kazakhstan	94440000000	31 December 2010 est.	5987	85	A
38	Republic of China (Taiwan)	91410000000	31 December 2010 est.	3452	21	A
39	Israel	89680000000	31 December 2010 est.	11649	43	A
40	Czech Republic	86790000000	31 December 2010 est.	7318	39	E
42	Chile	84510000000	31 December 2010 est.	3586	38	S
43	Saudi Arabia	82920000000	31 December 2010 est.	2839	20	A
44	Thailand	82500000000	31 December 2010 est.	990	25	A
45	South Africa	80520000000	30-Jun-10	1497	26	F
