"StudentID"	"TimeTurnedIn"	"Exam1RAW"	"AttendanceExtra"	"Curve"	"ComputedScore"	"CURVE1"
00000000	1241	78	2	7	87	78
00000000	1247	63	0	7	70	63
00000000	1247	53	1	7	61	53
00000000	1248	48	0	7	55	48
00000000	1249	65	2	7	74	65
00000000	1251	57.5	0	7	64.5	57.5
00000000	1252	71.5	0	7	78.5	71.5
00000000	1253	74.5	1	7	82.5	74.5
00000000	1254	47	1	7	55	47
00000000	1256	59	0	7	66	59
00000000	1256	81	2	7	90	81
00000000	1257	60	2	7	69	60
00000000	1259	72.5	2	7	81.5	72.5
00000000	1259	69.5	1	7	77.5	69.5
00000000	1259	99	2	7	108	99
00000000	1300	61	0	7	68	61
00000000	1300	60	1	7	68	60
00000000	1302	43	2	7	52	43
00000000	1306	42	1	7	50	42
00000000	1306	81	1	7	89	81
00000000	1306	83	0	7	90	83
00000000	1307	45	2	7	54	45
00000000	1307	80	1	7	88	80
00000000	1308	94	0	7	101	94
00000000	1308	53	1	7	61	53
00000000	1309	62	0	7	69	62
00000000	1310	80	0	7	87	80
00000000	1311	53	2	7	62	53
00000000	1312	77	0	7	84	77
