OBSNUM	XVAL	PROB_AVG	AREA1	AREACORR	AREATOT	PERCENT
0	0	0	0	0	0	0
1	0.005	7.79299314373016e-07	3.89649657186508e-09	1.16894897155952e-08	1.16894897155952e-08	0.0125
2	0.01	3.88871331185015e-06	1.94435665592507e-08	4.27447133902919e-08	5.44342031058871e-08	0.025
3	0.015	1.00881268829242e-05	5.0440634414621e-08	8.91336232943204e-08	1.43567826400208e-07	0.0375
4	0.02	1.93543358073117e-05	9.67716790365584e-08	1.50740779400734e-07	2.94308605800941e-07	0.05
5	0.025	3.16642518377607e-05	1.58321259188804e-07	2.27451319129119e-07	5.2175992493006e-07	0.0625
6	0.03	4.69949022172323e-05	2.34974511086161e-07	3.19150954940561e-07	8.40910879870622e-07	0.075
7	0.035	6.53234291978897e-05	3.26617145989449e-07	4.25725971941623e-07	1.26663685181224e-06	0.0875
8	0.04	8.66270895618914e-05	4.33135447809457e-07	5.47063225497298e-07	1.81370007730954e-06	0.1
9	0.045	0.000110883254143979	5.54416270719893e-07	6.83050138852923e-07	2.49675021616247e-06	0.1125
10	0.05	0.000138069407355854	6.90347036779272e-07	8.33574700764998e-07	3.33032491692746e-06	0.125
11	0.055	0.000168163146712345	8.40815733561723e-07	9.985254631409e-07	4.32885038006837e-06	0.1375
12	0.06	0.000201142182359338	1.00571091179669e-06	1.17779153868745e-06	5.50664191875582e-06	0.15
13	0.065	0.000236984336603497	1.18492168301748e-06	1.37126259856831e-06	6.87790451732413e-06	0.1625
14	0.07	0.00027566754344373	1.37833771721865e-06	1.57882887007015e-06	8.45673338739428e-06	0.175
15	0.075	0.000317169848104428	1.58584924052214e-06	1.80038113427762e-06	1.02571145216719e-05	0.1875
16	0.08	0.000361469406570453	1.80734703285226e-06	2.03581072375703e-06	1.22929252454289e-05	0.2
17	0.085	0.000408544485123866	2.04272242561933e-06	2.2850095202487e-06	1.45779347656776e-05	0.2125
18	0.09	0.000458373459882405	2.29186729941202e-06	2.54786995236804e-06	1.71258047180457e-05	0.225
19	0.095	0.000510934816339689	2.55467408169845e-06	2.82428499331527e-06	1.99500897113609e-05	0.2375
20	0.1	0.000566207148907159	2.8310357445358e-06	3.11414815859367e-06	2.30642378699546e-05	0.25
21	0.105	0.00062416916045773	3.12084580228865e-06	3.41735350373648e-06	2.64815913736911e-05	0.2625
22	0.11	0.000684799661871168	3.42399830935584e-06	3.73379562204238e-06	3.02153869957335e-05	0.275
23	0.115	0.000748077571581175	3.74038785790587e-06	4.0633696423194e-06	3.42787566380529e-05	0.2875
24	0.12	0.000813981915124176	4.06990957562088e-06	4.40597122663736e-06	3.86847278646902e-05	0.3
25	0.125	0.000882491824689804	4.41245912344902e-06	4.76149656808883e-06	4.34462244327791e-05	0.3125
26	0.13	0.000953586538673084	4.76793269336542e-06	5.12984238855841e-06	4.85760668213375e-05	0.325
27	0.135	0.00102724540122829	5.13622700614144e-06	5.5109059365005e-06	5.4086972757838e-05	0.3375
28	0.14	0.00110344786182449	5.51723930912245e-06	5.90458498472542e-06	5.99915577425634e-05	0.35
29	0.145	0.00118217347480278	5.9108673740139e-06	6.31077782819383e-06	6.63023355707572e-05	0.3625
30	0.15	0.00126340189893515	6.31700949467575e-06	6.72938328181952e-06	7.30317188525767e-05	0.375
31	0.155	0.00134711289698505	6.73556448492526e-06	7.16030067828049e-06	8.01920195308572e-05	0.3875
32	0.16	0.0014332863352696	7.16643167634798e-06	7.60342986583819e-06	8.77954493966954e-05	0.4
33	0.165	0.00152190218322342	7.60951091611709e-06	8.0586712061651e-06	9.58541206028605e-05	0.4125
